VERTICES 28001
-12.132 3.925 8.686
-3.875 3.524 -0.194
-23.608 -15.929 2.975
-22.889 -17.080 2.177
34.454 -33.996 25.318
34.351 -34.727 25.629
40.703 -33.821 25.612
41.502 -34.644 25.851
-38.940 -52.872 -15.020
-38.203 -54.483 -13.349
-47.760 -51.877 -15.494
-49.377 -51.027 -15.623
-48.894 -52.884 -13.312
31.121 -51.421 -18.216
17.326 -48.981 -8.996
27.072 -51.478 -27.227
17.722 -48.867 -20.600
30.203 -49.615 -26.458
30.160 -51.270 -26.407
17.491 -47.776 -20.051
36.751 -30.858 -21.708
35.756 -30.267 -21.069
23.302 -45.196 -19.893
53.311 -53.957 -0.202
33.611 -53.318 14.198
35.700 -52.900 16.213
35.428 -54.303 13.368
-35.449 -16.353 -16.313
-32.908 -18.296 -18.561
-29.301 11.220 -7.332
-17.058 53.426 15.197
-14.377 51.436 15.577
-22.864 59.750 7.242
-21.641 59.181 7.859
-5.147 68.580 16.991
-2.472 69.526 19.287
-37.249 61.440 6.302
-33.400 61.564 6.190
-15.968 43.723 21.216
-16.399 45.790 20.020
7.677 71.088 23.486
-20.889 64.045 16.606
-18.434 65.237 16.403
-15.497 65.598 17.313
1.964 -39.367 -20.955
1.976 -38.507 -20.071
-4.844 -52.234 -29.511
-1.879 -52.278 -28.376
75.983 -26.050 -5.612
73.432 -26.622 -7.384
83.311 -38.812 -11.622
-65.059 44.741 10.223
-64.698 53.751 1.084
-63.632 53.780 1.000
-50.301 49.936 13.718
-47.516 49.892 16.884
-55.510 55.442 6.287
-55.677 54.882 8.127
-18.199 -50.702 -26.006
-17.864 -49.506 -27.627
0.690 -53.318 -22.353
0.828 -52.587 -24.815
-1.560 -54.969 -23.916
-43.122 26.075 -14.846
-44.374 26.480 -15.448
-22.135 26.776 -3.800
35.291 20.026 25.860
33.751 19.019 25.588
45.102 22.848 26.642
45.380 20.347 26.322
44.093 20.077 26.205
-46.497 -39.004 23.282
-46.848 -38.183 23.286
-44.589 -38.625 24.258
-57.750 -36.148 13.364
-55.527 -36.826 14.284
-48.298 -38.484 22.376
-70.939 -48.793 19.358
-49.633 -42.440 25.580
-51.560 -42.128 25.753
-48.148 -40.774 24.310
-54.595 -49.565 17.082
-54.000 -48.452 23.376
-58.267 -50.073 21.011
-56.914 -50.048 11.432
-61.046 -50.249 11.851
45.667 -39.176 -20.832
45.943 -39.033 -20.539
36.693 -50.950 -13.452
37.495 -51.334 -13.974
48.202 -37.710 -20.828
50.691 -46.963 26.889
1.521 27.895 12.273
1.459 27.821 12.842
0.690 26.860 12.511
19.954 33.230 20.994
17.085 34.441 17.239
-27.976 56.466 19.015
-28.350 58.559 15.736
-35.081 58.123 16.078
-38.067 59.426 13.148
57.546 -22.477 2.376
56.800 -22.187 2.282
57.561 -32.264 -2.824
56.832 -32.107 -1.696
-65.280 -26.600 -13.370
-62.335 -23.840 -15.746
-65.582 -42.315 -2.654
-64.656 -43.479 -2.570
-64.918 -42.438 -5.820
54.241 10.680 -3.936
55.466 12.358 -3.901
53.964 -9.534 -1.841
-10.679 38.216 7.984
-10.579 37.989 9.357
-1.223 45.315 0.912
0.277 52.752 4.479
0.091 52.585 4.596
-8.554 54.286 4.159
-4.169 55.253 4.001
-7.153 53.651 4.726
-2.795 53.866 4.988
-15.428 51.988 6.169
-16.068 52.322 7.446
-16.624 53.676 5.729
-80.376 25.737 -0.591
-80.028 24.187 -0.152
-37.844 -34.230 -36.565
-37.485 -33.925 -34.385
-48.031 -45.833 -38.504
-47.652 -44.624 -39.887
82.143 10.205 4.877
83.104 10.814 4.980
81.789 10.905 4.504
83.230 10.041 8.429
83.809 10.280 8.095
44.663 -44.373 21.752
39.455 -42.856 25.547
40.180 -43.857 27.188
-10.212 35.052 17.824
-13.193 41.640 18.552
-12.515 41.712 17.906
69.254 2.073 11.148
69.647 3.734 11.472
69.389 1.037 10.406
-31.883 29.866 23.246
-32.631 29.687 22.687
-34.709 32.633 21.308
-22.436 23.646 22.069
38.488 -55.958 9.173
-63.195 -40.875 19.492
-65.681 -40.825 19.788
-52.523 -41.581 25.011
-10.604 -36.780 27.550
-11.716 -36.053 27.172
-5.163 -27.553 23.823
-5.687 -28.282 24.201
40.133 4.466 14.769
40.300 6.125 15.533
30.574 -14.382 17.508
31.889 -10.740 13.546
-8.362 -55.540 -21.616
-3.383 -55.697 -20.798
-8.714 -51.687 -10.485
-7.057 -50.268 -10.735
-1.552 -52.049 -13.949
-1.618 -49.690 -12.992
-5.766 -54.598 -13.921
-7.574 -53.060 -13.158
-8.063 -51.353 -11.749
-6.208 -50.151 -11.553
-3.783 -52.182 -13.858
-6.073 -52.266 -12.898
-6.784 -51.250 -12.051
-3.796 -51.913 -13.616
-2.834 -50.806 -13.563
-3.515 -51.245 -13.502
-2.791 -50.942 -13.602
-3.353 -51.445 -13.663
-1.546 -50.360 -14.005
-4.038 -52.179 -13.958
-1.535 -49.530 -13.741
-3.754 -50.192 -13.309
-1.866 -49.340 -13.346
-1.367 -49.294 -13.638
-1.770 -49.123 -13.497
-3.449 -52.183 -13.408
-3.585 -52.099 -13.338
-1.857 -44.789 -10.686
9.241 -24.564 -5.565
5.984 -37.828 -4.390
5.960 -35.585 -5.420
10.346 -32.747 0.689
10.176 -31.619 -0.501
73.679 -55.232 -0.995
-2.759 31.481 3.597
2.631 43.382 4.671
2.535 43.922 5.114
3.296 44.208 4.638
58.872 31.700 7.406
55.023 34.199 7.379
68.314 8.228 5.497
67.227 11.377 3.956
30.421 -36.647 23.708
41.789 -43.115 23.524
86.886 29.385 0.467
82.885 25.566 0.584
83.679 24.978 0.494
-49.033 -12.973 15.333
-64.997 -17.707 8.270
-65.313 -15.531 7.323
72.258 3.996 10.226
75.554 1.479 9.992
76.559 -0.993 8.876
74.153 -0.712 8.571
44.483 -28.867 -5.521
57.038 -18.300 3.274
-30.764 22.237 -4.346
-30.920 18.426 -5.771
66.492 -36.065 -28.064
65.956 -34.933 -27.628
52.169 -43.125 -24.521
50.707 -42.814 -23.739
74.252 20.360 10.828
74.100 17.240 10.695
73.232 21.174 9.337
73.462 20.705 10.150
-39.537 46.945 -13.655
-42.237 46.648 -14.799
-17.051 39.670 -4.554
-14.610 39.842 -4.071
-17.716 40.743 -4.716
-6.316 48.495 1.431
-6.922 48.683 1.071
-3.190 42.416 5.099
-5.931 49.719 4.152
-6.264 50.065 4.809
51.879 -10.118 -17.674
52.860 -8.657 -19.787
48.061 -10.905 -15.985
44.075 9.072 -11.973
44.514 9.543 -11.391
51.582 -5.338 -18.625
-33.180 -6.297 -9.608
-33.301 -3.729 -9.998
-34.637 -4.213 -11.462
-31.128 -11.220 -4.093
-7.331 65.075 13.807
-10.472 64.647 12.666
9.026 72.158 22.753
-3.463 64.327 16.153
0.318 66.258 17.982
1.373 67.393 18.154
-54.356 -39.260 -19.238
-49.491 -41.434 -32.367
-49.353 -40.319 -29.264
-58.474 55.242 -5.513
-59.708 56.050 -4.646
-60.709 53.724 0.112
-8.491 -21.100 26.417
-7.810 -20.488 25.411
2.949 10.555 22.472
-6.028 -31.378 25.449
-4.622 -31.803 23.762
-8.796 -27.533 27.368
-70.786 59.758 -16.746
-69.685 59.790 -14.900
