VERTICES 2805
-40.860 28.588 7.642
-32.360 27.235 -11.204
-33.219 28.942 -12.070
52.329 -12.191 -16.880
0.526 15.226 14.285
-33.103 -53.839 -14.943
-59.028 42.990 -15.857
16.292 -50.409 -16.235
45.478 39.310 15.622
-11.541 -28.508 27.044
-62.395 32.972 -16.935
50.939 -29.191 -17.315
-28.527 60.751 6.149
52.159 -25.783 -32.842
-31.226 60.322 27.946
51.071 -31.330 -2.373
-57.263 -16.068 -16.534
-62.673 34.127 -12.220
49.067 -36.828 -21.003
-47.318 33.239 6.267
-0.029 16.855 8.184
-61.196 24.746 -21.649
-62.402 23.826 -22.136
-36.738 38.248 -2.711
-64.395 -16.934 6.511
-64.108 -22.460 8.606
-6.324 -37.247 -16.831
-8.626 -37.397 -16.483
33.148 -51.734 15.638
49.092 -26.184 -1.454
-45.325 -7.432 -15.639
-54.957 54.141 11.355
-30.183 -24.376 15.322
18.781 35.547 9.616
-78.001 34.716 -15.204
67.936 -43.373 9.554
70.109 -24.084 -7.310
-25.148 -10.723 4.468
45.894 -40.681 30.895
42.217 -39.367 29.695
-2.748 -13.845 -8.834
-26.425 -41.582 -30.687
45.332 -25.925 -3.693
-72.265 51.695 -7.718
-69.091 51.533 -10.602
50.400 -28.789 -19.000
2.363 53.788 2.037
-70.144 30.344 -24.027
-9.435 30.179 2.047
-41.173 24.066 15.560
46.349 -48.725 29.754
-11.336 55.792 33.474
-67.238 -27.509 -7.207
-25.287 -55.030 13.199
-63.193 32.300 -14.746
51.101 -29.336 -0.090
67.125 -55.838 -6.110
-13.290 31.746 26.180
-67.126 33.231 -1.497
-37.832 26.948 -14.876
-41.783 25.885 -15.267
-40.327 25.440 -13.455
33.283 -53.097 -24.529
4.877 27.698 13.015
-62.678 -43.106 28.366
6.150 -24.365 22.184
47.460 -1.329 -19.860
46.104 -0.753 -11.046
49.356 -7.630 -14.194
1.803 55.221 2.048
-7.326 54.272 -0.152
-31.600 9.775 18.430
64.525 -29.618 -7.914
55.651 -32.559 -6.701
-5.667 42.319 16.043
72.861 19.840 10.709
-23.387 22.798 21.732
-13.184 -42.712 30.161
47.475 9.994 23.962
-62.797 -30.445 -13.821
45.527 -55.050 -11.435
-66.109 30.965 -4.717
-67.620 31.951 -3.039
89.521 28.597 5.516
41.309 12.995 21.181
-57.886 -42.881 16.770
39.889 -51.348 -18.819
-14.668 -16.190 14.596
-78.357 27.952 -9.403
-70.591 50.127 5.847
25.118 38.284 15.740
-38.017 41.962 19.780
-68.481 56.126 -21.077
-46.373 53.721 -8.934
-46.460 56.002 13.044
-42.773 24.928 16.568
74.620 -52.649 9.412
40.439 -33.045 -27.612
-10.800 37.083 18.109
47.030 17.555 25.374
-32.739 36.612 21.391
53.892 -31.690 9.679
-61.105 49.840 2.327
-62.032 58.073 -2.157
-45.551 -37.592 -36.993
-72.588 33.544 -22.419
-68.045 31.545 -23.345
37.401 -42.356 37.362
86.991 -31.946 -18.977
-66.430 -23.022 2.337
72.227 21.761 9.530
78.272 -39.605 -4.944
97.778 32.024 0.708
-13.126 -28.318 22.712
20.799 20.346 26.370
41.601 42.444 13.584
-47.629 28.047 -11.468
-22.488 -5.293 6.094
14.231 -1.894 -5.584
-39.236 42.332 6.463
39.180 -53.513 38.002
-8.774 46.598 34.129
-7.303 44.184 35.005
26.628 -43.470 -9.463
-18.960 -12.909 5.267
-5.260 -43.031 19.709
-74.435 50.683 -2.224
-6.467 39.810 16.026
51.640 -26.962 -21.368
67.015 30.064 10.106
-6.040 33.906 16.020
41.653 -53.300 -0.377
51.387 -52.774 -1.656
-16.358 -19.789 -10.037
-40.543 -24.233 24.335
50.424 -42.359 30.178
44.586 -44.732 33.629
-30.699 59.118 28.164
49.681 33.818 21.289
36.400 -44.912 -15.348
59.898 -20.286 4.505
-29.877 52.435 -7.894
-74.021 33.376 -4.659
-3.697 40.429 3.072
-35.712 56.182 20.737
-18.198 -11.353 5.547
79.709 -42.551 -5.635
83.534 26.396 8.522
49.519 -29.745 -19.015
70.703 -12.847 -1.941
70.895 -15.771 -2.511
18.682 -46.653 -26.749
-7.904 -51.912 -12.556
65.615 -4.939 15.433
-62.078 -16.892 -12.594
47.642 -21.753 -34.444
-18.958 -52.959 16.965
-72.608 27.809 -25.923
41.814 -27.404 -24.819
37.187 -28.457 -21.839
-24.572 45.519 29.569
-15.944 46.817 31.425
34.471 34.758 0.035
-59.700 -28.333 -16.907
-57.076 -38.038 -17.874
-61.777 23.152 -23.296
57.670 -36.820 5.936
-44.178 33.927 6.860
47.390 -10.741 -3.714
-45.421 13.979 1.249
-37.286 27.254 6.326
-39.352 26.980 5.882
43.099 -17.401 -22.967
50.305 37.205 9.731
-72.602 28.261 -20.391
24.382 -44.928 9.404
88.619 -11.630 -8.797
48.977 -9.910 -30.165
55.100 -14.320 -20.827
-10.616 9.814 12.678
-9.711 12.467 12.586
33.738 -46.766 35.544
65.188 -13.246 3.892
-26.744 -51.368 -31.393
36.812 11.685 18.855
-16.627 54.640 12.909
31.318 -46.492 33.398
-68.997 56.959 -3.561
-67.899 56.599 -0.169
-71.553 55.902 -2.458
-65.062 23.404 -0.766
77.370 -54.882 -0.069
-26.972 34.721 26.592
56.566 -32.536 0.055
-9.955 -55.450 -15.890
59.018 -15.486 16.654
-61.193 -44.883 -8.665
-34.833 25.613 -12.525
-64.361 -49.576 23.888
36.182 -48.758 -12.876
-14.107 22.519 19.733
-4.817 16.238 11.684
48.407 28.576 24.564
67.174 -54.679 14.274
0.930 45.858 1.096
59.044 26.187 0.402
-49.921 56.106 12.680
-39.354 31.941 17.958
-71.736 31.924 -4.305
-7.865 1.865 6.645
-54.679 55.611 11.089
-11.547 -55.104 13.156
-20.778 -40.095 24.536
33.660 -46.464 -23.804
5.009 -45.300 -22.486
-42.753 25.401 13.552
37.600 -42.795 -17.032
-3.463 -50.099 -13.205
-64.139 -41.297 1.227
55.687 -26.282 0.473
39.220 -51.461 -16.260
-34.634 21.133 -2.687
29.429 -19.263 19.960
79.779 26.451 0.623
-39.949 7.909 15.975
-13.912 35.650 21.070
-13.188 -14.012 -1.014
-70.339 53.532 -14.092
-40.897 -55.234 -25.303
-39.196 -53.879 -21.593
46.418 3.102 -10.549
-24.602 -55.173 30.125
20.155 39.916 14.508
-44.424 43.922 -0.744
-53.355 51.478 -10.343
46.695 -33.736 -18.780
-24.174 50.269 26.749
-32.767 26.793 -1.392
45.791 -17.764 -26.693
14.976 27.855 21.736
71.232 0.802 3.102
-30.305 24.648 18.673
-58.016 55.300 -4.496
44.174 -32.559 -12.455
-62.462 32.145 0.601
87.074 -27.189 -8.727
84.489 -23.620 -3.882
86.827 -22.797 -5.506
44.587 8.249 -0.195
72.240 9.277 3.982
-50.468 57.010 7.672
-55.445 2.575 -5.394
27.350 -45.000 -9.053
27.138 -44.018 -8.875
25.671 -45.226 -8.566
-36.069 27.063 10.352
26.497 43.601 12.623
46.893 -13.838 -16.982
-30.365 -28.767 19.486
-23.140 56.378 -3.942
6.589 -41.642 1.663
-39.674 28.490 10.466
92.404 29.886 -1.419
6.478 4.819 -5.791
-48.569 11.107 4.923
-65.165 -31.178 6.322
-12.146 17.776 15.722
-16.013 9.436 6.914
-24.463 -48.350 -33.626
-63.369 32.366 -13.839
-8.186 46.992 -1.806
82.844 9.225 6.850
25.766 -39.372 -7.888
